"date","name","precip","lon","lat"
2019-07-13,"Beding",5.8,86.38,27.9
2019-07-13,"Dongang",3.6,86.29,27.9
2019-07-13,"Gongar",6.2,86.22,27.84
2019-07-13,"Na",4.8,86.43,27.88
2019-07-13,"Simigaun",3.4,86.23,27.87
2019-07-13,"Singati",2.8,86.16,27.74
2019-07-14,"Beding",4.2,86.38,27.9
2019-07-14,"Dongang",13.6,86.29,27.9
2019-07-14,"Gongar",5.2,86.22,27.84
2019-07-14,"Na",1.4,86.43,27.88
2019-07-14,"Simigaun",8.4,86.23,27.87
2019-07-14,"Singati",12,86.16,27.74
2019-07-15,"Beding",13.8,86.38,27.9
2019-07-15,"Dongang",13.6,86.29,27.9
2019-07-15,"Gongar",22.8,86.22,27.84
2019-07-15,"Na",6.8,86.43,27.88
2019-07-15,"Simigaun",15,86.23,27.87
2019-07-15,"Singati",24,86.16,27.74
2019-07-16,"Beding",0.2,86.38,27.9
2019-07-16,"Dongang",1.8,86.29,27.9
2019-07-16,"Gongar",47,86.22,27.84
2019-07-16,"Na",0,86.43,27.88
2019-07-16,"Simigaun",5.4,86.23,27.87
2019-07-16,"Singati",3.6,86.16,27.74
2019-07-17,"Beding",5.8,86.38,27.9
2019-07-17,"Dongang",19,86.29,27.9
2019-07-17,"Gongar",43.6,86.22,27.84
2019-07-17,"Na",2.4,86.43,27.88
2019-07-17,"Simigaun",26.4,86.23,27.87
2019-07-17,"Singati",3.2,86.16,27.74
2019-07-18,"Beding",0.6,86.38,27.9
2019-07-18,"Dongang",5.4,86.29,27.9
2019-07-18,"Gongar",23.6,86.22,27.84
2019-07-18,"Na",0,86.43,27.88
2019-07-18,"Simigaun",15.8,86.23,27.87
2019-07-18,"Singati",42.4,86.16,27.74
2019-07-19,"Beding",17.2,86.38,27.9
2019-07-19,"Dongang",8.6,86.29,27.9
2019-07-19,"Gongar",18,86.22,27.84
2019-07-19,"Na",2.6,86.43,27.88
2019-07-19,"Simigaun",25.8,86.23,27.87
2019-07-19,"Singati",1.4,86.16,27.74
2019-07-20,"Beding",1.2,86.38,27.9
2019-07-20,"Dongang",10.8,86.29,27.9
2019-07-20,"Gongar",17.4,86.22,27.84
2019-07-20,"Na",0.4,86.43,27.88
2019-07-20,"Simigaun",22.4,86.23,27.87
2019-07-20,"Singati",20,86.16,27.74
2019-07-21,"Beding",0.4,86.38,27.9
2019-07-21,"Dongang",2.4,86.29,27.9
2019-07-21,"Gongar",36.6,86.22,27.84
2019-07-21,"Na",0,86.43,27.88
2019-07-21,"Simigaun",11.2,86.23,27.87
2019-07-21,"Singati",10.6,86.16,27.74
2019-07-22,"Beding",1,86.38,27.9
2019-07-22,"Dongang",3.6,86.29,27.9
2019-07-22,"Gongar",13.4,86.22,27.84
2019-07-22,"Na",0,86.43,27.88
2019-07-22,"Simigaun",15.6,86.23,27.87
2019-07-22,"Singati",20,86.16,27.74
2019-07-23,"Beding",16,86.38,27.9
2019-07-23,"Dongang",40.6,86.29,27.9
2019-07-23,"Gongar",47.4,86.22,27.84
2019-07-23,"Na",18.8,86.43,27.88
2019-07-23,"Simigaun",29,86.23,27.87
2019-07-23,"Singati",33.8,86.16,27.74
2019-07-24,"Beding",8,86.38,27.9
2019-07-24,"Dongang",11.2,86.29,27.9
2019-07-24,"Gongar",14.6,86.22,27.84
2019-07-24,"Na",7.4,86.43,27.88
2019-07-24,"Simigaun",10.2,86.23,27.87
2019-07-24,"Singati",22.2,86.16,27.74
2019-07-25,"Beding",19,86.38,27.9
2019-07-25,"Dongang",28,86.29,27.9
2019-07-25,"Gongar",28.4,86.22,27.84
2019-07-25,"Na",8.8,86.43,27.88
2019-07-25,"Simigaun",19.8,86.23,27.87
2019-07-25,"Singati",10.2,86.16,27.74
2019-07-26,"Beding",22,86.38,27.9
2019-07-26,"Dongang",40.6,86.29,27.9
2019-07-26,"Gongar",44.2,86.22,27.84
2019-07-26,"Na",9.6,86.43,27.88
2019-07-26,"Simigaun",31,86.23,27.87
2019-07-26,"Singati",17.2,86.16,27.74
2019-07-27,"Beding",20.6,86.38,27.9
2019-07-27,"Dongang",50.6,86.29,27.9
2019-07-27,"Gongar",47.8,86.22,27.84
2019-07-27,"Na",10.2,86.43,27.88
2019-07-27,"Simigaun",36.8,86.23,27.87
2019-07-27,"Singati",44,86.16,27.74
2019-07-28,"Beding",9.2,86.38,27.9
2019-07-28,"Dongang",44.6,86.29,27.9
2019-07-28,"Gongar",26.8,86.22,27.84
2019-07-28,"Na",5.8,86.43,27.88
2019-07-28,"Simigaun",24.4,86.23,27.87
2019-07-28,"Singati",21,86.16,27.74
2019-07-29,"Beding",23.6,86.38,27.9
2019-07-29,"Dongang",75.2,86.29,27.9
2019-07-29,"Gongar",21,86.22,27.84
2019-07-29,"Na",7.8,86.43,27.88
2019-07-29,"Simigaun",13.6,86.23,27.87
2019-07-29,"Singati",4.6,86.16,27.74
2019-07-30,"Beding",5.6,86.38,27.9
2019-07-30,"Dongang",23.2,86.29,27.9
2019-07-30,"Gongar",2.6,86.22,27.84
2019-07-30,"Na",5.8,86.43,27.88
2019-07-30,"Simigaun",2.4,86.23,27.87
2019-07-30,"Singati",9.8,86.16,27.74
2019-07-31,"Beding",14.4,86.38,27.9
2019-07-31,"Dongang",35.8,86.29,27.9
2019-07-31,"Gongar",3.4,86.22,27.84
2019-07-31,"Na",7,86.43,27.88
2019-07-31,"Simigaun",6.4,86.23,27.87
2019-07-31,"Singati",4.2,86.16,27.74
2019-08-01,"Beding",14,86.38,27.9
2019-08-01,"Dongang",22.6,86.29,27.9
2019-08-01,"Gongar",12.6,86.22,27.84
2019-08-01,"Na",9.6,86.43,27.88
2019-08-01,"Simigaun",10,86.23,27.87
2019-08-01,"Singati",6.8,86.16,27.74
2019-08-02,"Beding",20.4,86.38,27.9
2019-08-02,"Dongang",29.4,86.29,27.9
2019-08-02,"Gongar",17.2,86.22,27.84
2019-08-02,"Na",17,86.43,27.88
2019-08-02,"Simigaun",14,86.23,27.87
2019-08-02,"Singati",59.8,86.16,27.74
2019-08-03,"Beding",8.8,86.38,27.9
2019-08-03,"Dongang",17.6,86.29,27.9
2019-08-03,"Gongar",15.4,86.22,27.84
2019-08-03,"Na",7.6,86.43,27.88
2019-08-03,"Simigaun",11.2,86.23,27.87
2019-08-03,"Singati",13.4,86.16,27.74
2019-08-04,"Beding",13.4,86.38,27.9
2019-08-04,"Dongang",41.8,86.29,27.9
2019-08-04,"Gongar",27.6,86.22,27.84
2019-08-04,"Na",5,86.43,27.88
2019-08-04,"Simigaun",32.2,86.23,27.87
2019-08-04,"Singati",24,86.16,27.74
2019-08-05,"Beding",27.8,86.38,27.9
2019-08-05,"Dongang",37.8,86.29,27.9
2019-08-05,"Gongar",22,86.22,27.84
2019-08-05,"Na",12,86.43,27.88
2019-08-05,"Simigaun",11.6,86.23,27.87
2019-08-05,"Singati",41.8,86.16,27.74
2019-08-06,"Beding",17,86.38,27.9
2019-08-06,"Dongang",11.4,86.29,27.9
2019-08-06,"Gongar",3.4,86.22,27.84
2019-08-06,"Na",5.6,86.43,27.88
2019-08-06,"Simigaun",2.6,86.23,27.87
2019-08-06,"Singati",6,86.16,27.74
2019-08-07,"Beding",0.4,86.38,27.9
2019-08-07,"Dongang",1,86.29,27.9
2019-08-07,"Gongar",14,86.22,27.84
2019-08-07,"Na",0.2,86.43,27.88
2019-08-07,"Simigaun",4.4,86.23,27.87
2019-08-07,"Singati",5,86.16,27.74
2019-08-08,"Beding",7,86.38,27.9
2019-08-08,"Dongang",41,86.29,27.9
2019-08-08,"Gongar",21.8,86.22,27.84
2019-08-08,"Na",1.4,86.43,27.88
2019-08-08,"Simigaun",18.4,86.23,27.87
2019-08-08,"Singati",21,86.16,27.74
2019-08-09,"Beding",9.2,86.38,27.9
2019-08-09,"Dongang",19,86.29,27.9
2019-08-09,"Gongar",23.4,86.22,27.84
2019-08-09,"Na",2.8,86.43,27.88
2019-08-09,"Simigaun",12.4,86.23,27.87
2019-08-09,"Singati",10.2,86.16,27.74
2019-08-10,"Beding",26.8,86.38,27.9
2019-08-10,"Dongang",19.6,86.29,27.9
2019-08-10,"Gongar",31,86.22,27.84
2019-08-10,"Na",7.8,86.43,27.88
2019-08-10,"Simigaun",13,86.23,27.87
2019-08-10,"Singati",48.4,86.16,27.74
2019-08-11,"Beding",9.6,86.38,27.9
2019-08-11,"Dongang",7.6,86.29,27.9
2019-08-11,"Gongar",11.6,86.22,27.84
2019-08-11,"Na",11.6,86.43,27.88
2019-08-11,"Simigaun",12.2,86.23,27.87
2019-08-11,"Singati",15.6,86.16,27.74
2019-08-12,"Beding",19.8,86.38,27.9
2019-08-12,"Dongang",31.2,86.29,27.9
2019-08-12,"Gongar",22.4,86.22,27.84
2019-08-12,"Na",8.2,86.43,27.88
2019-08-12,"Simigaun",19.8,86.23,27.87
2019-08-12,"Singati",15.8,86.16,27.74
2019-08-13,"Beding",14.2,86.38,27.9
2019-08-13,"Dongang",7.8,86.29,27.9
2019-08-13,"Gongar",3,86.22,27.84
2019-08-13,"Na",9,86.43,27.88
2019-08-13,"Simigaun",2.8,86.23,27.87
2019-08-13,"Singati",0.8,86.16,27.74
2019-08-14,"Beding",26,86.38,27.9
2019-08-14,"Dongang",35.6,86.29,27.9
2019-08-14,"Gongar",36.4,86.22,27.84
2019-08-14,"Na",15.4,86.43,27.88
2019-08-14,"Simigaun",26,86.23,27.87
2019-08-14,"Singati",19.4,86.16,27.74
2019-08-15,"Beding",15.6,86.38,27.9
2019-08-15,"Dongang",11,86.29,27.9
2019-08-15,"Gongar",5,86.22,27.84
2019-08-15,"Na",5.2,86.43,27.88
2019-08-15,"Simigaun",3,86.23,27.87
2019-08-15,"Singati",3,86.16,27.74
2019-08-16,"Beding",15,86.38,27.9
2019-08-16,"Dongang",16.8,86.29,27.9
2019-08-16,"Gongar",25,86.22,27.84
2019-08-16,"Na",7.4,86.43,27.88
2019-08-16,"Simigaun",9.8,86.23,27.87
2019-08-16,"Singati",30.4,86.16,27.74
2019-08-17,"Beding",5.2,86.38,27.9
2019-08-17,"Dongang",5,86.29,27.9
2019-08-17,"Gongar",38.8,86.22,27.84
2019-08-17,"Na",6,86.43,27.88
2019-08-17,"Simigaun",7.2,86.23,27.87
2019-08-17,"Singati",4.8,86.16,27.74
2019-08-18,"Beding",7,86.38,27.9
2019-08-18,"Dongang",18,86.29,27.9
2019-08-18,"Gongar",10,86.22,27.84
2019-08-18,"Na",4.2,86.43,27.88
